Moves,Score,Time,Mean Time Per Move,Did Win,Highest Tile
"{'w': 43, 'a': 35, 's': 35, 'd': 34}",1208,0.21,0.0,False,128
"{'w': 20, 'a': 20, 's': 26, 'd': 25}",596,0.12,0.0,False,64
"{'w': 49, 'a': 46, 's': 44, 'd': 41}",1644,0.22,0.0,False,128
"{'w': 31, 'a': 21, 's': 21, 'd': 23}",664,0.17,0.0,False,64
"{'w': 31, 'a': 18, 's': 19, 'd': 26}",632,0.15,0.0,False,64
"{'w': 34, 'a': 18, 's': 25, 'd': 22}",688,0.16,0.0,False,64
"{'w': 41, 'a': 43, 's': 37, 'd': 33}",1372,0.22,0.0,False,128
"{'w': 34, 'a': 32, 's': 34, 'd': 29}",1048,0.18,0.0,False,128
"{'w': 47, 'a': 21, 's': 20, 'd': 27}",860,0.14,0.0,False,64
"{'w': 52, 'a': 36, 's': 42, 'd': 44}",1932,0.29,0.0,False,256
"{'w': 23, 'a': 31, 's': 24, 'd': 34}",772,0.19,0.0,False,64
"{'w': 35, 'a': 32, 's': 21, 'd': 28}",764,0.16,0.0,False,64
"{'w': 37, 'a': 33, 's': 24, 'd': 23}",1016,0.15,0.0,False,128
"{'w': 22, 'a': 24, 's': 14, 'd': 22}",496,0.11,0.0,False,32
"{'w': 39, 'a': 31, 's': 44, 'd': 45}",1436,0.21,0.0,False,128
"{'w': 28, 'a': 13, 's': 18, 'd': 21}",512,0.1,0.0,False,32
"{'w': 31, 'a': 19, 's': 22, 'd': 24}",844,0.15,0.0,False,128
"{'w': 20, 'a': 23, 's': 22, 'd': 27}",616,0.13,0.0,False,64
"{'w': 50, 'a': 59, 's': 34, 'd': 42}",1540,0.24,0.0,False,128
"{'w': 36, 'a': 22, 's': 26, 'd': 23}",692,0.14,0.0,False,64
"{'w': 27, 'a': 18, 's': 32, 'd': 14}",580,0.12,0.0,False,64
"{'w': 55, 'a': 49, 's': 51, 'd': 48}",1956,0.26,0.0,False,128
"{'w': 23, 'a': 22, 's': 18, 'd': 19}",488,0.12,0.0,False,64
"{'w': 24, 'a': 33, 's': 16, 'd': 18}",692,0.13,0.0,False,64
"{'w': 23, 'a': 27, 's': 20, 'd': 21}",644,0.12,0.0,False,64
"{'w': 28, 'a': 31, 's': 22, 'd': 24}",900,0.13,0.0,False,128
"{'w': 26, 'a': 19, 's': 18, 'd': 33}",660,0.14,0.0,False,64
"{'w': 42, 'a': 31, 's': 35, 'd': 29}",1136,0.22,0.0,False,128
"{'w': 46, 'a': 38, 's': 35, 'd': 31}",1364,0.19,0.0,False,128
"{'w': 34, 'a': 34, 's': 25, 'd': 30}",1052,0.18,0.0,False,64
"{'w': 57, 'a': 30, 's': 38, 'd': 33}",1360,0.22,0.0,False,128
"{'w': 31, 'a': 26, 's': 23, 'd': 19}",676,0.13,0.0,False,64
"{'w': 32, 'a': 22, 's': 27, 'd': 20}",820,0.13,0.0,False,64
"{'w': 43, 'a': 37, 's': 40, 'd': 44}",1488,0.23,0.0,False,128
"{'w': 41, 'a': 32, 's': 39, 'd': 36}",1316,0.2,0.0,False,128
"{'w': 39, 'a': 33, 's': 19, 'd': 33}",1048,0.18,0.0,False,128
"{'w': 13, 'a': 13, 's': 14, 'd': 27}",324,0.08,0.0,False,32
"{'w': 42, 'a': 45, 's': 38, 'd': 34}",1396,0.2,0.0,False,128
"{'w': 29, 'a': 17, 's': 23, 'd': 28}",684,0.12,0.0,False,64
"{'w': 29, 'a': 25, 's': 18, 'd': 28}",660,0.14,0.0,False,64
"{'w': 38, 'a': 27, 's': 32, 'd': 48}",1300,0.19,0.0,False,128
"{'w': 42, 'a': 37, 's': 24, 'd': 49}",1364,0.21,0.0,False,128
"{'w': 31, 'a': 35, 's': 25, 'd': 29}",1060,0.16,0.0,False,128
"{'w': 56, 'a': 45, 's': 43, 'd': 44}",1736,0.23,0.0,False,128
"{'w': 24, 'a': 29, 's': 18, 'd': 21}",616,0.12,0.0,False,64
"{'w': 23, 'a': 18, 's': 20, 'd': 21}",568,0.13,0.0,False,64
"{'w': 24, 'a': 24, 's': 16, 'd': 30}",648,0.12,0.0,False,64
"{'w': 31, 'a': 21, 's': 17, 'd': 26}",604,0.15,0.0,False,64
"{'w': 41, 'a': 38, 's': 36, 'd': 42}",1372,0.24,0.0,False,128
"{'w': 44, 'a': 39, 's': 35, 'd': 43}",1368,0.2,0.0,False,128
"{'w': 27, 'a': 31, 's': 21, 'd': 29}",840,0.14,0.0,False,64
"{'w': 47, 'a': 39, 's': 31, 'd': 28}",1256,0.22,0.0,False,128
"{'w': 37, 'a': 32, 's': 38, 'd': 29}",1112,0.21,0.0,False,128
"{'w': 38, 'a': 36, 's': 31, 'd': 37}",1248,0.19,0.0,False,128
"{'w': 38, 'a': 24, 's': 38, 'd': 35}",1208,0.17,0.0,False,128
"{'w': 43, 'a': 41, 's': 30, 'd': 46}",1364,0.2,0.0,False,128
